Item ID,CMaxDiameter,CMinDiameter,RMinLength,RMinWidth,RMaxLength,RMaxWidth,Capabilities,OverflowRate,Quantity
1340-,27/67,29/74,,,,,"Trash, Sediment & Debris",Up to 500/1893 GPM/LPM,1
1340-TD,27/67,29/74,,,,,Trash & Debris,Up to 500/1893 GPM/LPM,1
1341-,,,28/71,16/41,36/91,20/50,"Trash, Sediment & Debris",Up to 500/1893 GPM/LPM,1
1341-TD,,,28/71,16/41,36/91,20/50,Trash & Debris,Up to 500/1893 GPM/LPM,1
1341-TD-XL,,,25/64,25/64,42/107,42/107,Trash & Debris,Up to 500/1893 GPM/LPM,1
1341-XL,,,25/64,25/64,42/107,42/107,"Trash, Sediment & Debris",Up to 500/1893 GPM/LPM,1
1343-,27/67,29/74,,,,,"Trash, Sediments, Debris, Oils & Hydrocarbons",Up to 500/1893 GPM/LPM,1
1344-,,,28/71,16/41,36/91,20/50,"Trash, Sediments, Debris, Oils & Hydrocarbons",Up to 500/1893 GPM/LPM,1
1344-XL,,,25/64,25/64,42/107,42/107,"Trash, Sediments, Debris, Oils & Hydrocarbons",Up to 500/1893 GPM/LPM,1
1345-,,,15/38,4/10,15/38,4/10,,,2
1346-,,,,24/62,,30/76,"Trash, Sediment & Debris",,1
1346-OH,,,,24/62,,30/76,"Trash, Sediments, Debris, Oils & Hydrocarbons",,1
1346-TD,,,,24/62,,30/76,Trash & Debris,,1
4702-YE,,,,1.5/4,,3/8,Fits Hose Size:,,1
4704-YE,,,,4/10,,5/13,Fits Hose Size:,,1
4706-YE,,,,6/15,,8/20,Fits Hose Size:,,1
4710-YE,,,,10/25,,10/25,Fits Hose Size:,,1
,,,,,,,,,
,,,,,,,,,
