Item ID,Length,Width,Height,Hlength,Hwidth,HHeight,Absorbs
1295-LK,11/28,8/20,1/2.5,,,,
1300-YE,,,,,,,Absorbs up to: 5/19
1301-YE,,,,,,,Absorbs up to: 5/19
1302-YE,,,,,,,Absorbs up to: 5/19
1310-YE,,,,,,,Absorbs up to: 10/38
1311-YE,,,,,,,Absorbs up to: 10/38
1312-YE,,,,,,,Absorbs up to: 10/38
1320-RF,,,,,,,Universal
1320-YE,,,,,,,Absorbs up to: 11/42
1321-RF,,,,,,,Aggressive
1321-YE,,,,,,,Absorbs up to: 11/42
1322-RF,,,,,,,Oil Only
1322-YE,,,,,,,Absorbs up to: 11/42
1330-RF,,,,,,,Universal
1330-YE,,,,,,,Absorbs up to: 23/87
1331-RF,,,,,,,Aggressive
1331-YE,,,,,,,Absorbs up to: 23/87
1332-RF,,,,,,,Oil Only
1332-YE,,,,,,,Absorbs up to: 23/87
1347-RF,,,,,,,Universal
1347-YE,,,,,,,Absorbs up to: 95/360
1348-RF,,,,,,,Aggressive
1348-YE,,,,,,,Absorbs up to: 95/360
1349-RF,,,,,,,Oil Only
1349-YE,,,,,,,Absorbs up to: 95/360
1350-RF,,,,,,,Universal
1350-YE,,,,,,,Absorbs up to: 31/117
1351-RF,,,,,,,Aggressive
1351-YE,,,,,,,Absorbs up to: 31/117
1352-RF,,,,,,,Oil Only
1352-YE,,,,,,,Absorbs up to: 31/117
13-5PKO,,,,,,,Absorbs up to: 5/19
13-5PKU,,,,,,,Absorbs up to: 5/19
1360-RF,,,,,,,Universal
1360-YE,,,,,,,Absorbs up to: 41/155
1361-RF,,,,,,,Aggressive
1361-YE,,,,,,,Absorbs up to: 41/155
1362-RF,,,,,,,Oil Only
1362-YE,,,,,,,Absorbs up to: 41/155
1380-RF,,,,,,,Universal
1380-YE,,,,,,,Absorbs up to: 150/568
1381-RF,,,,,,,Aggressive
1381-YE,,,,,,,Absorbs up to: 150/568
1382-RF,,,,,,,Oil Only
1382-YE,,,,,,,Absorbs up to: 150/568
1390-YE,,,,,,,Absorbs up to: 62/235
1391-YE,,,,,,,Absorbs up to: 62/235
1392-YE,,,,,,,Absorbs up to: 62/235
1393-YE,,,,,,,Absorbs up to: 62/235
1394-YE,,,,,,,Absorbs up to: 62/235
1395-YE,,,,,,,Absorbs up to: 62/235
1397-RF,,,,,,,Universal
1397-YE,,,,,,,Absorbs up to: 62/235
1398-RF,,,,,,,Aggressive
1398-YE,,,,,,,Absorbs up to: 62/235
1399-RF,,,,,,,Oil Only
1399-YE,,,,,,,Absorbs up to: 62/235
13-KTSSO,,,,,,,Absorbs up to: 5/19
13-KTSSU,,,,,,,Absorbs up to: 5/19
13-SP2O,,,,,,,Absorbs up to: 5/19
13-SP2U,,,,,,,Absorbs up to: 5/19
13-TWSK-O,,,,,,,Absorbs up to: 110/416
13-TWSK-U,,,,,,,Absorbs up to: 110/416
4001-BK,118/300,31/79,15.25/39,,,,
5001-YE,50/127,50/127,17/43,,,,
5002-BK,45/115,35/89,5/12.5,,,,
5004-BK,51/130,47/119,5/12.5,,,,
5038-BK,29.5/75,8.5/22,5.5/16,,,,
5039-BK,67.8/172,30.75/78,12.5/31.75,,,,
5102-YE,98.25/249,25.25/64,12/30,,,,
5110-YE,100/254,53.25/135,6/15,,,,
5111-BK,25.4/64,46/117,6.1/16,,,,
5112-BK,9.5/24,7/18,3.5/9,,,,
5115-YE,77/196,53/135,6/15,,,,
5116-YE,52.5/133,53/135,6/15,,,,
5117-YE,53/135,28.5/72,6/15,,,,
5200-YE,62.75/159,29/74,13.1/33,66.5/169,29/74,43.9/112,
5200-YE-A,62.75/160,29/74,13.1/33,66.5/169,29/74,43.9/112,
5206-BK,36.6/93,10/25,,,,,
5248-YE,25.5/65,22/56,3.25/8,,,,
5253-YE,54/137,29/74,16.5/42,,,,
5300-YE,69/175,32/81,26.5/67,,,,
5300-YE-A,69/175,32/81,26.5/67,,,,
5311-BK,,2/5,10/25,,,,
5400-YE,54/137,54/137,12/30,,,,
5550-BK,113/287,71/180,32/81,,,,
6000-YE,49/124,53/134,22.9/58,,,,
6002-YE,49/124,40.75/103,12.75/32,,,,
6003-YE,17/43,22/56,17.5/44.45,,,,
6004-YE,48.5/123,41/104,20/51,,,,
6005-BK,12.75/32,15.5/39,2.5/6,,,,
6006-YE,31/78,53/134,32/82,,,,
6007-YE,31.25/79,40.75/103,20/50,,,,
6010-YE,31/78,29/74,15/38,,,,
6011-YE-M,31/79,29/74,15.25/39,,,,
6012-YE,31.5/80,19.5/49,18/45,,,,
7006-BK,48/122,23/58,1.9/5,,,,
7202-YE,48/121,31/79,41/104,,,,
7203-BK,46/117,20/51,6/15,,,,
7204-BK,30/76,31.5/80,4.5/11,,,,
7210-YE,24/61,4/10,3/8,,,,
7212-YE,28/71,14/36,30/76,,,,
7213-YE,41/104,29/74,46.5/118,,,,
7214-YE,16/42,4/10,4/10,,,,
7215-YE,16/41,4/10,4/10,,,,
7216-YE,15.3/39,6.3/16,3.3/8,,,,
7301-BK,22.5/57,24.75/65,46/117,,,,
7301-BK-ATD,23.75/60,23/58,45.9/116,,,,
7302-BK,36.9/93,23.5/60,45/114,,,,
POLY-EDGE,35/89,21/51,16/41,Mounting Slots: .63in/1.6cm,,,
